occurrenceID;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordedBy;verbatimEventDate;samplingProtocol;individualCount;preparations;identifiedBy;dateIdentified;identificationQualifier;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificName;scientificNameAuthorship;verbatimTaxonRank;taxonRank;vernacularName;sex;habitat;country;countryCode;stateProvince;county;verbatimLocality;verbatimElevation;verbatimLatitude;verbatimLongitude;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters
UCN:MH-ORNIT:46-2300MI2008AV0197;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0197;Benavides A;Mar 19, 2001;Red de Niebla;1;Piel;Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0223;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0223;Benavides J | Trujillo P;2001;Red de Niebla;1;Piel;Alzate F | Rodríguez W | Idárraga A | Díaz O | Carmona D | Urrea L | Rivera A;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Hembra;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0255;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0255;Vargas I;19/03/2001;Red de Niebla;1;Piel;Soejarto D | Zarucchi J | Swain T | Bagley J;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0287;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0287;Roldán F | Marulanda O | Flórez M | Osorio L;19/03/2001;Red de Niebla;1;Piel;Soejarto D | Zarucchi J | Swain T | Bagley J;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Hembra;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0322;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0322;Velásquez C | Correa E | Ramírez J;Feb 10, 2001;Red de Niebla;1;Piel;Soejarto D | Zarucchi J | Swain T | Bagley J;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Indeterminado;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0343;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0343;Galeano M | Martínez X | Matapí A | Anzola F | Pavón M;2001;Red de Niebla;1;Piel;Soejarto D | Cabrera I | Zarucchi J;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0390;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0390;Fonnegra R;19/03/2001;Red de Niebla;1;Piel;Benjumea D;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0429;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0429;Giraldo D;Mar 2001;Red de Niebla;1;Piel;Albert L | Folsom J | Brand J | Sánchez D;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Hembra;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0455;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0455;Beltran N;Mar 19, 2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0549;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0549;Forero E | Jaramillo R;Mar 19, 2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Hembra;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0590;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0590;Vincelli P;19/03/2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Indeterminado;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0599;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0599;Rudas A | Giraldo D | Tuberquia D | Uribe F;20/03/2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0699;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0699;Rudas A | Giraldo D | Tuberquia D | Uribe F;Mar 2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0735;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0735;Rudas A | Giraldo D | Tuberquia D | Uribe F;2001/03/19;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Hembra;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0787;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0787;Galeano M | Martínez X | Matapí A | Anzola F | Pavón M;2001/03/19;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0829;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0829;Sierra L | Bermúdez G;20/03/2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Hembra;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0861;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0861;Vargas I;Mar 2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Indeterminado;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV1061;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV1061;Rudas A | Giraldo D | Tuberquia D | Uribe F;2001/03/19;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV1182;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV1182;Rudas A | Giraldo D | Tuberquia D | Uribe F;Feb 2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV1202;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV1202;Rudas A | Giraldo D | Tuberquia D | Uribe F;May 2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Hembra;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0072;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0072;Vargas I;Mar 2001;;1;Animal entero (ETOH - Etanol);López N | Vásquez C;oct. 2001;;;;Reptilia;;Colubridae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Macho;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0005;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0005;Zambrano L | Diago N;2001/03/19;;1;Animal entero (ETOH - Etanol);López N | Vásquez C;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Hembra;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0006;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0006;Vargas I;2001/03/19;;1;Animal entero (ETOH - Etanol);López N | Vásquez C;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Indeterminado;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0008;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0008;Vargas I;20/03/2001;;1;Animal entero (ETOH - Etanol);López N | Vásquez C;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Macho;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0010;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0010;Vargas I;Mar 2001;;1;Animal entero (ETOH - Etanol);López N | Vásquez C;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Macho;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0043;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0043;Acevedo P | Callejas R | Churchill S;2001/03/19;;1;Animal entero (ETOH - Etanol);López N | Vásquez C;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Hembra;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0048;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0048;Fonnegra R | Cardona F | Alzate F | Posada J;Feb 2001;;1;Animal entero (ETOH - Etanol);López N | Vásquez C;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Macho;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0055;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0055;Fonnegra R | Cardona F | Alzate F | Posada J;May 2001;;1;Animal entero (ETOH - Etanol);López N | Vásquez C;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Hembra;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0057;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0057;Fonnegra R | Cardona F | Alzate F | Posada J;Mar 19, 2001;;1;Animal entero (ETOH - Etanol);López N | Vásquez C;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Indeterminado;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0070;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0070;Fonnegra R | Alzate F | Cardona F;2001;;1;Animal entero (ETOH - Etanol);David H | Hoyos S | Quintero R;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Macho;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0074;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0074;Fonnegra R | Roldán F;19/03/2001;;1;Animal entero (ETOH - Etanol);Cordero Z;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Macho;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0075;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0075;Vargas I;19/03/2001;;1;Animal entero (ETOH - Etanol);Cordero Z;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva ameiva Linnaeus, 1758;;;;Lobito;Hembra;Bosque Húmedo;Colombia;CO;Antioquia;Jardín;Vereda La Clara, quebrada Bonita, reserva La Playa, camino;2339;"5° 35' 12"" N";"75° 46' 18"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0004;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0004;Cardona F | Alzate F | Posada J | Trujillo C;Feb 10, 2001;;1;Animal entero (ETOH - Etanol);Cordero Z | Tanimuka G;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva festiva;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Caldas;Sin datos;1789;"6° 05' 34"" N";"75° 38' 27.99"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0027;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0027;Roldán F | Velásquez C | Restrepo J | Becerra A;2001;;1;Animal entero (ETOH - Etanol);Clavijo L | Cordero Z;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva festiva;;;;;Hembra;Bosque Montano;Colombia;CO;Antioquia;Caldas;Sin datos;1789;"6° 05' 34"" N";"75° 38' 27.99"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0037;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0037;Roldán F | Velásquez C | Restrepo J | Becerra A;19/03/2001;;1;Animal entero (ETOH - Etanol);Clavijo L | Cordero Z;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva festiva;;;;;Indeterminado;Bosque Montano;Colombia;CO;Antioquia;Caldas;Sin datos;1789;"6° 05' 34"" N";"75° 38' 27.99"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0058;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0058;Roldán F | Velásquez C | Restrepo J | Becerra A;Mar 2001;;1;Animal entero (ETOH - Etanol);Clavijo L | González M | Tanimuka W;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva festiva;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Caldas;Sin datos;1789;"6° 05' 34"" N";"75° 38' 27.99"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0059;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0059;Cardona F | Posada J;Mar 19, 2001;;1;Animal entero (ETOH - Etanol);Clavijo L;oct. 2001;;;;Reptilia;;Teiidae;;;;Ameiva festiva;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Caldas;Sin datos;1789;"6° 05' 34"" N";"75° 38' 27.99"" W";;;;;
UCN:MH-HERP:46-2300MI2008RE0039;PreservedSpecimen;UCN;MH-HERP;46-2300MI2008RE0039;Vargas I;Mar 19, 2001;;1;Animal entero (ETOH - Etanol);Clavijo L | González M | Tanimuka W;oct. 2001;;;;Reptilia;;Amphisbaenidae;;;;Amphisbaena fuliginosa;;;;;Hembra;Piedemonte;Colombia;CO;Antioquia;Anorí;25 km al S y 22 km al W de Zaragoza, Providencia La Tirana;500;"7° 18' 10.12"" N";"75° 04' 25.03"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV1275;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV1275;Rudas A | Giraldo D | Tuberquia D | Uribe F;Mar 19, 2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV1359;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV1359;Restrepo S;2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Hembra;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV1496;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV1496;Rudas A | Giraldo D | Tuberquia D | Uribe F;19/03/2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Indeterminado;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV1648;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV1648;Suárez S | Calderón D;19/03/2001;Red de Niebla;1;Piel;Suescún D | Piedrahíta J | Ríos L;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
