occurrenceID,basisOfRecord,institutionCode,collectionCode,catalogNumber,type,collectionID,recordedBy,verbatimEventDate,samplingProtocol,individualCount,preparations,identifiedBy,dateIdentified,identificationQualifier,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,verbatimTaxonRank,taxonRank,vernacularName,sex,habitat,country,countryCode,stateProvince,county,verbatimLocality,verbatimElevation,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters
UCN:MH-ORNIT:46-2300MI2008AV0455,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0455,Objeto físico,RNC:123,Beltran N,"Mar 19, 2001",Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0549,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0549,Objeto físico,RNC:123,Forero E | Jaramillo R,"Mar 19, 2001",Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Hembra,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0590,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0590,Objeto físico,RNC:123,Vincelli P,19/03/2001,Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Indeterminado,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0599,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0599,Objeto físico,RNC:123,Rudas A | Giraldo D | Tuberquia D | Uribe F,20/03/2001,Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0699,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0699,Objeto físico,RNC:123,Rudas A | Giraldo D | Tuberquia D | Uribe F,Mar 2001,Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0735,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0735,Objeto físico,RNC:123,Rudas A | Giraldo D | Tuberquia D | Uribe F,2001/03/19,Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Hembra,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0787,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0787,Objeto físico,RNC:123,Galeano M | Martínez X | Matapí A | Anzola F | Pavón M,2001/03/19,Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0829,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0829,Objeto físico,RNC:123,Sierra L | Bermúdez G,20/03/2001,Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Hembra,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0861,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0861,Objeto físico,RNC:123,Vargas I,Mar 2001,Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Indeterminado,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV1061,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV1061,Objeto físico,RNC:123,Rudas A | Giraldo D | Tuberquia D | Uribe F,2001/03/19,Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV1182,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV1182,Objeto físico,RNC:123,Rudas A | Giraldo D | Tuberquia D | Uribe F,Feb 2001,Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV1202,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV1202,Objeto físico,RNC:123,Rudas A | Giraldo D | Tuberquia D | Uribe F,May 2001,Red de Niebla,1,Piel,Suescún D | Piedrahíta J | Ríos L,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Hembra,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0072,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0072,Objeto físico,RNC:123,Vargas I,Mar 2001,,1,Animal entero (ETOH - Etanol),López N | Vásquez C,oct. 2001,,,,Reptilia,,Colubridae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Macho,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0005,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0005,Objeto físico,RNC:123,Zambrano L | Diago N,2001/03/19,,1,Animal entero (ETOH - Etanol),López N | Vásquez C,oct. 2001,,,,Reptilia,,Teiidae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Hembra,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0006,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0006,Objeto físico,RNC:123,Vargas I,2001/03/19,,1,Animal entero (ETOH - Etanol),López N | Vásquez C,oct. 2001,,,,Reptilia,,Teiidae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Indeterminado,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0008,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0008,Objeto físico,RNC:123,Vargas I,20/03/2001,,1,Animal entero (ETOH - Etanol),López N | Vásquez C,oct. 2001,,,,Reptilia,,Teiidae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Macho,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0010,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0010,Objeto físico,RNC:123,Vargas I,Mar 2001,,1,Animal entero (ETOH - Etanol),López N | Vásquez C,oct. 2001,,,,Reptilia,,Teiidae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Macho,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0043,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0043,Objeto físico,RNC:123,Acevedo P | Callejas R | Churchill S,2001/03/19,,1,Animal entero (ETOH - Etanol),López N | Vásquez C,oct. 2001,,,,Reptilia,,Teiidae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Hembra,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0048,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0048,Objeto físico,RNC:123,Fonnegra R | Cardona F | Alzate F | Posada J,Feb 2001,,1,Animal entero (ETOH - Etanol),López N | Vásquez C,oct. 2001,,,,Reptilia,,Teiidae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Macho,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0055,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0055,Objeto físico,RNC:123,Fonnegra R | Cardona F | Alzate F | Posada J,May 2001,,1,Animal entero (ETOH - Etanol),López N | Vásquez C,oct. 2001,,,,Reptilia,,Teiidae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Hembra,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0057,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0057,Objeto físico,RNC:123,Fonnegra R | Cardona F | Alzate F | Posada J,"Mar 19, 2001",,1,Animal entero (ETOH - Etanol),López N | Vásquez C,oct. 2001,,,,Reptilia,,Teiidae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Indeterminado,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0070,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0070,Objeto físico,RNC:123,Fonnegra R | Alzate F | Cardona F,2001,,1,Animal entero (ETOH - Etanol),David H | Hoyos S | Quintero R,oct. 2001,,,,Reptilia,,Teiidae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Macho,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0074,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0074,Objeto físico,RNC:123,Fonnegra R | Roldán F,19/03/2001,,1,Animal entero (ETOH - Etanol),Cordero Z,oct. 2001,,,,Reptilia,,Teiidae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Macho,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0075,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0075,Objeto físico,RNC:123,Vargas I,19/03/2001,,1,Animal entero (ETOH - Etanol),Cordero Z,oct. 2001,,,,Reptilia,,Teiidae,,,,"Ameiva ameiva Linnaeus, 1758",,,,Lobito,Hembra,Bosque Húmedo,Colombia,CO,Antioquia,Jardín,"Vereda La Clara, quebrada Bonita, reserva La Playa, camino",2339,"5° 35' 12"" N","75° 46' 18"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0004,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0004,Objeto físico,RNC:123,Cardona F | Alzate F | Posada J | Trujillo C,"Feb 10, 2001",,1,Animal entero (ETOH - Etanol),Cordero Z | Tanimuka G,oct. 2001,,,,Reptilia,,Teiidae,,,,Ameiva festiva,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Caldas,Sin datos,1789,"6° 05' 34"" N","75° 38' 27.99"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0027,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0027,Objeto físico,RNC:123,Roldán F | Velásquez C | Restrepo J | Becerra A,2001,,1,Animal entero (ETOH - Etanol),Clavijo L | Cordero Z,oct. 2001,,,,Reptilia,,Teiidae,,,,Ameiva festiva,,,,,Hembra,Bosque Montano,Colombia,CO,Antioquia,Caldas,Sin datos,1789,"6° 05' 34"" N","75° 38' 27.99"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0037,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0037,Objeto físico,RNC:123,Roldán F | Velásquez C | Restrepo J | Becerra A,19/03/2001,,1,Animal entero (ETOH - Etanol),Clavijo L | Cordero Z,oct. 2001,,,,Reptilia,,Teiidae,,,,Ameiva festiva,,,,,Indeterminado,Bosque Montano,Colombia,CO,Antioquia,Caldas,Sin datos,1789,"6° 05' 34"" N","75° 38' 27.99"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0058,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0058,Objeto físico,RNC:123,Roldán F | Velásquez C | Restrepo J | Becerra A,Mar 2001,,1,Animal entero (ETOH - Etanol),Clavijo L | González M | Tanimuka W,oct. 2001,,,,Reptilia,,Teiidae,,,,Ameiva festiva,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Caldas,Sin datos,1789,"6° 05' 34"" N","75° 38' 27.99"" W",,,,,
UCN:MH-HERP:46-2300MI2008RE0059,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-HERP,46-2300MI2008RE0059,Objeto físico,RNC:123,Cardona F | Posada J,"Mar 19, 2001",,1,Animal entero (ETOH - Etanol),Clavijo L,oct. 2001,,,,Reptilia,,Teiidae,,,,Ameiva festiva,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Caldas,Sin datos,1789,"6° 05' 34"" N","75° 38' 27.99"" W",,,,,
